4463,6830
4464,1515
4465,990
4471,2270
4472,1185
4474,545
4475,775
4481,3210
4482,20
4484,1905
4485,435
4486,1570
4491,1155
4493,2070
4494,345
4501,4815
4503,1075
4504,455
4505,590
4506,785
4507,1470
4508,545
4511,4745
4513,805
4515,2205
4521,1645
4522,210
4524,2290
4525,395
4527,2420
4528,325
4529,855
4531,2500
4532,6950
4533,3055
4535,4930
4536,3080
4537,4075
4538,225
4539,195
4541,2380
4542,3005
4543,2835
4551,4070
4553,2135
4554,1970
4561,9745
4562,1130
4564,3110
4565,370
4566,1115
4567,2465
4568,1005
4569,920
4571,8000
4574,945
4575,240
4576,2580
4581,1920
4583,495
4584,240
4585,745
4586,550
4587,3215
4588,375
4589,325
4611,8080
4612,235
4613,3955
4614,7240
4615,5840
4616,55
4617,7930
4621,4610
4622,425
4623,3990
4624,6265
4625,3090
4631,9025
4634,1520
4635,2155
4641,5240
4645,3730
4651,11990
4652,235
4655,735
4661,12410
4664,1940
4671,5665
4675,2685
4681,2325
4691,7605
4693,1685
4694,1765
4695,3630
4696,1710
4697,3670
4698,2735
4701,5765
4702,13320
4703,7075
4704,140
4705,335
4706,11660
4707,16150
4708,13025
4709,1590
4711,9270
4714,4950
4715,4755
4721,1245
4722,210
4724,4860
4725,1150
4726,1835
4727,630
4731,12200
4735,2000
4741,6655
4744,2050
4751,7180
4754,1210
4756,2285
4758,2305
4759,1070
4761,13450
4762,560
4765,1640
4766,25
4771,645
